date,start_time,open,high,low,close,volume,end_time,volume_usd,n_trades,taker_volume,taker_volume_usd
2020-01-02,1577836800000,129.12,132.96,128.62,130.62,466063.929,1577923199999,61037558.40428,40168,232492.871,30446139.87524
2020-01-03,1577923200000,130.63,130.75,126.25,127.11,523582.924,1578009599999,67377970.84502,47479,253840.635,32674934.35326
2020-01-04,1578009600000,127.11,135.07,125.78,134.29,951123.597,1578095999999,125018928.04077,106861,486159.153,63907153.10402
2020-01-05,1578096000000,134.31,135.8,132.41,134.14,509778.108,1578182399999,68153930.41227,65138,257304.84,34406351.99057
2020-01-06,1578182400000,134.14,138.17,134.12,135.33,669677.687,1578268799999,91098597.42478,71080,332189.944,45185997.79727
2020-01-07,1578268800000,135.32,144.38,134.82,144.04,1095147.166,1578355199999,153993462.03959,89851,565039.363,79461767.47336
2020-01-08,1578355200000,144.11,145.25,138.7,142.86,963331.505,1578441599999,137384193.55172,82275,481985.847,68782673.41951
2020-01-09,1578441600000,142.86,147.94,137.15,140.75,1208133.766,1578527999999,171733898.79286,117669,593769.495,84431362.93629
2020-01-10,1578528000000,140.76,141.52,135.33,137.73,956864.213,1578614399999,132349219.83971,79801,460011.726,63634192.42552
2020-01-11,1578614400000,137.73,145.15,135.22,144.8,908378.249,1578700799999,127143267.90469,88107,451491.742,63243003.62813
2020-01-12,1578700800000,144.8,148.03,142.0,142.4,832163.204,1578787199999,119977193.63432,83777,400748.783,57809841.35838
2020-01-13,1578787200000,142.4,146.6,141.71,146.57,630256.911,1578873599999,90941158.24868,63661,329084.039,47490278.22387
2020-01-14,1578873600000,146.57,147.0,142.32,143.58,558655.672,1578959999999,80266745.59378,55178,279441.457,40161070.63786
2020-01-15,1578960000000,143.57,171.0,143.49,165.77,2169559.414,1579046399999,342187335.94531,200718,1093708.213,172392113.33496
2020-01-16,1579046400000,165.75,172.18,159.35,166.6,1391999.279,1579132799999,230286716.67757,161755,659342.288,109136637.08767
2020-01-17,1579132800000,166.61,167.63,158.43,164.37,784199.474,1579219199999,127461014.43638,96110,371086.603,60358530.56161
2020-01-18,1579219200000,164.39,174.79,162.27,170.06,946707.348,1579305599999,160259747.79844,132234,457329.539,77442370.40568
2020-01-19,1579305600000,170.06,179.57,165.08,174.43,819444.357,1579391999999,142262348.68168,126514,390507.838,67879871.85541
2020-01-20,1579392000000,174.37,178.42,161.81,167.04,742371.819,1579478399999,125956521.7234,123733,340703.545,57894394.44088
2020-01-21,1579478400000,167.04,169.48,161.5,167.03,390055.869,1579564799999,64624702.00634,60886,177886.786,29490461.02375
2020-01-22,1579564800000,167.01,170.34,165.02,169.52,351565.999,1579651199999,58986902.98569,48717,170834.392,28676762.37858
2020-01-23,1579651200000,169.62,171.61,166.12,168.19,334378.174,1579737599999,56350595.56504,46337,163071.874,27491493.08245
2020-01-24,1579737600000,168.24,168.38,159.41,162.97,481102.22,1579823999999,78583548.01533,67538,222287.501,36313451.31092
2020-01-25,1579824000000,162.97,164.65,155.72,162.63,472568.424,1579910399999,75924771.97144,64720,227946.374,36649321.72762
2020-01-26,1579910400000,162.66,163.0,157.8,160.52,282785.555,1579996799999,45339862.12769,42072,139386.142,22353858.35028
2020-01-27,1579996800000,160.5,168.16,159.5,167.9,326188.863,1580083199999,53409274.40732,43835,165546.267,27127146.45932
2020-01-28,1580083200000,167.98,172.26,165.28,170.21,418039.792,1580169599999,70720869.02324,53201,205608.964,34806573.43452
2020-01-29,1580169600000,170.25,176.7,170.22,175.88,525282.459,1580255999999,90758791.20274,72110,270004.061,46676300.09117
2020-01-30,1580256000000,175.89,178.85,173.3,173.8,401619.605,1580342399999,70901067.68041,57915,185615.397,32786299.58685
2020-01-31,1580342400000,173.86,187.4,171.07,185.14,653770.608,1580428799999,116665433.71156,86918,326526.705,58296995.18522
2020-02-01,1580428800000,185.16,186.34,175.5,180.14,672522.049,1580515199999,121744510.77084,82806,314492.275,56925203.37113
2020-02-02,1580515200000,180.14,184.58,179.41,183.82,526688.019,1580601599999,96080885.54872,73274,249313.968,45501296.89903
2020-02-03,1580601600000,183.8,193.7,179.0,188.59,907342.798,1580687999999,170846713.44708,136351,466111.723,87794354.83827
2020-02-04,1580688000000,188.64,195.45,186.65,189.92,652054.538,1580774399999,124122130.70399,91435,316307.928,60255705.27633
2020-02-05,1580774400000,189.89,191.76,184.71,189.01,614290.379,1580860799999,115364577.74246,80668,291973.564,54837961.94932
2020-02-06,1580860800000,189.0,208.18,188.26,204.1,902811.615,1580947199999,178375200.47346,110642,471954.871,93196284.84241
2020-02-07,1580947200000,204.1,216.7,201.28,213.27,1254989.317,1581033599999,264288535.88063,171238,610706.4,128644935.73927
2020-02-08,1581033600000,213.3,225.36,213.3,223.57,1054174.736,1581119999999,232249153.37736,135137,517661.199,114073475.57485
2020-02-09,1581120000000,223.57,228.02,213.35,223.57,1090545.108,1581206399999,243043392.21839,136512,543988.258,121365032.60704
2020-02-10,1581206400000,223.57,230.9,223.5,228.64,969021.787,1581292799999,220695663.91218,120637,482868.547,109983734.26184
2020-02-11,1581292800000,228.71,229.96,217.32,223.03,1175671.024,1581379199999,262203105.9402,160175,558120.984,124472501.09725
2020-02-12,1581379200000,223.04,239.98,218.64,237.16,1194286.448,1581465599999,272327898.64944,165529,602437.545,137454951.49244
2020-02-13,1581465600000,237.17,277.97,237.17,266.24,2223807.477,1581551999999,574225360.14547,334904,1114986.26,288056590.6003
2020-02-14,1581552000000,266.26,278.8,256.2,268.48,2386998.02,1581638399999,639755030.53358,373205,1154240.28,309528635.82975
2020-02-15,1581638400000,268.48,287.58,260.53,285.4,1447161.175,1581724799999,395789382.38502,239287,734046.309,200955793.60695
2020-02-16,1581724800000,285.4,289.0,262.41,265.08,1925220.413,1581811199999,529235758.42768,300463,912474.572,250947476.47505
2020-02-17,1581811200000,265.16,274.3,237.86,258.87,2297491.401,1581897599999,594576100.72784,379609,1101439.466,285170253.02842
2020-02-18,1581897600000,258.87,268.81,242.32,268.0,2129022.892,1581983999999,538264137.1458,384716,1063497.823,269082793.60059
2020-02-19,1581984000000,267.99,286.48,258.78,282.96,1885124.383,1582070399999,515176525.90584,295234,943749.819,258123817.01442
2020-02-20,1582070400000,282.96,286.7,250.0,258.43,1677778.697,1582156799999,459670219.19239,276538,782917.559,215013605.81283
2020-02-21,1582156800000,258.39,264.32,245.91,257.11,1618473.989,1582243199999,415072958.53042,371065,790782.295,202893315.78492
2020-02-22,1582243200000,257.18,268.5,253.89,265.44,985301.295,1582329599999,258780144.08535,186008,485006.49,127416333.80961
2020-02-23,1582329600000,265.45,267.16,256.23,261.83,752957.418,1582415999999,196960689.6889,168666,369197.715,96597080.93081
2020-02-24,1582416000000,261.82,275.84,261.5,274.67,940831.98,1582502399999,254128741.02017,195861,489965.233,132338552.23739
2020-02-25,1582502400000,274.66,277.26,257.5,265.7,1483265.023,1582588799999,396190156.06157,292530,692233.134,184921494.2273
2020-02-26,1582588800000,265.69,266.4,244.57,247.03,1563901.657,1582675199999,399165818.02308,307867,753421.526,192365512.49983
2020-02-27,1582675200000,247.03,250.54,215.75,224.1,2729291.802,1582761599999,633303689.86963,505295,1294649.229,300389579.23579
2020-02-28,1582761600000,224.13,238.58,210.01,227.92,2374539.334,1582847999999,536493997.29536,538634,1175706.614,265615392.59061
2020-02-29,1582848000000,227.93,234.93,214.25,227.09,2026863.186,1582934399999,454376453.34299,416639,1002979.415,224893570.98125
2020-03-01,1582934400000,227.04,233.33,217.14,217.31,1309444.25,1583020799999,295997709.3792,239830,625224.35,141413408.27497
2020-03-02,1583020800000,217.37,228.0,212.33,218.01,1775078.523,1583107199999,390456164.9947,319189,873539.551,192263823.94329
2020-03-03,1583107200000,218.01,234.5,216.24,232.22,1604040.396,1583193599999,362061880.36415,252090,804595.09,181574683.73656
2020-03-04,1583193600000,232.24,232.67,220.21,224.1,1544830.651,1583279999999,350368765.18825,250480,748718.782,169868271.66981
2020-03-05,1583280000000,224.1,229.0,220.45,224.47,1027175.512,1583366399999,230726528.92651,164273,496362.497,111524927.56144
2020-03-06,1583366400000,224.43,234.26,224.43,228.64,1142530.928,1583452799999,262593712.18975,190706,567305.418,130380228.47648
2020-03-07,1583452800000,228.63,245.38,227.6,244.94,1307956.34,1583539199999,309193535.18403,210885,663718.468,156959651.82331
2020-03-08,1583539200000,244.97,251.8,236.3,237.34,1637057.953,1583625599999,398551973.39385,262341,794974.814,193632844.4529
2020-03-09,1583625600000,237.36,237.38,195.35,199.54,3150036.792,1583711999999,684775390.09688,435510,1469323.237,319723551.04261
2020-03-10,1583712000000,199.54,208.65,190.02,203.02,3885205.704,1583798399999,778277652.87276,558024,1909913.08,382744254.68392
2020-03-11,1583798400000,202.95,206.32,195.66,200.95,2008333.356,1583884799999,405031566.29724,342612,968753.168,195462480.47501
2020-03-12,1583884800000,200.9,203.26,181.88,194.81,2125322.09,1583971199999,410229505.12859,377831,1026948.354,198332325.09505
2020-03-13,1583971200000,194.77,195.81,95.0,106.71,7116256.717,1584057599999,1042747529.1893,876766,3369170.276,492278540.99367
2020-03-14,1584057600000,106.97,323.0,84.23,134.13,6584772.112,1584143999999,787562869.6648,1143787,3275393.829,392613471.47557
2020-03-15,1584144000000,134.1,134.67,121.16,122.55,1845475.252,1584230399999,237313127.06988,291746,937461.574,120658029.94881
2020-03-16,1584230400000,122.56,133.85,120.4,123.89,1802030.406,1584316799999,224638895.20642,341902,907501.148,113274408.82917
2020-03-17,1584316800000,123.87,124.4,100.11,111.06,3622097.906,1584403199999,400195138.40241,633699,1871621.829,206872438.70104
2020-03-18,1584403200000,111.04,121.55,109.34,115.68,2053691.349,1584489599999,239015139.83578,432785,1051709.94,122482731.5263
2020-03-19,1584489600000,115.67,118.59,109.78,118.16,1583517.464,1584575999999,181277993.24376,367376,796605.638,91263909.2959
2020-03-20,1584576000000,118.12,143.34,115.5,136.42,2098800.654,1584662399999,270554423.25128,422407,1077019.514,139051491.67331
2020-03-21,1584662400000,136.42,152.68,116.67,133.52,3128620.956,1584748799999,431165491.64371,607243,1539260.894,212671989.18522
2020-03-22,1584748800000,133.48,137.58,125.58,132.67,1933564.299,1584835199999,254848453.29529,402245,985271.532,129897772.29271
2020-03-23,1584835200000,132.64,137.2,121.0,122.25,1724360.751,1584921599999,222080052.34143,362939,860046.035,110847491.54901
2020-03-24,1584921600000,122.27,137.67,119.0,135.96,1950909.243,1585007999999,250208240.74389,464331,1038397.939,133246554.66263
2020-03-25,1585008000000,135.96,143.44,132.41,138.38,1745190.832,1585094399999,239985908.84741,517026,873953.807,120177175.35562
2020-03-26,1585094400000,138.39,142.46,132.36,136.1,1448291.794,1585180799999,198316846.12547,431364,747223.385,102368005.35048
2020-03-27,1585180800000,136.11,139.8,133.18,138.41,1069528.365,1585267199999,144970764.16497,307363,569052.28,77184947.46968
2020-03-28,1585267200000,138.36,141.44,129.16,131.27,1024307.98,1585353599999,139707188.15309,277914,506564.725,69182079.17342
2020-03-29,1585353600000,131.24,132.93,124.52,130.95,1335630.33,1585439999999,171695997.87213,342445,693938.306,89279784.30567
2020-03-30,1585440000000,130.97,131.77,123.74,124.4,848667.965,1585526399999,108415730.52964,218262,441943.126,56521126.7054
2020-03-31,1585526400000,124.42,135.13,123.93,132.04,1187536.733,1585612799999,155662722.1298,266063,658190.215,86273869.32986
2020-04-01,1585612800000,132.07,135.0,130.33,132.61,896493.378,1585699199999,118826469.17698,205235,479586.304,63597113.07116
2020-04-02,1585699200000,132.6,137.22,128.27,135.6,1143905.195,1585785599999,151016360.2243,230834,605099.783,79955721.67352
2020-04-03,1585785600000,135.6,149.97,135.0,141.3,1694646.358,1585871999999,238001714.23101,380867,882634.086,123922347.88563
2020-04-04,1585872000000,141.29,146.78,137.68,141.23,1307374.677,1585958399999,186309257.94885,325138,671239.958,95689844.14259
2020-04-05,1585958400000,141.2,146.14,138.79,144.02,977437.997,1586044799999,139027717.81503,223233,511826.278,72853225.71105
2020-04-06,1586044800000,143.97,145.52,140.6,142.59,780295.149,1586131199999,111570542.9069,172991,393417.598,56270667.09811
2020-04-07,1586131200000,142.59,171.99,142.51,171.15,2847455.204,1586217599999,449513671.57668,562880,1534227.044,241848317.04149
2020-04-08,1586217600000,171.15,176.16,162.13,164.55,3033756.235,1586303999999,517045468.00622,701681,1541973.395,262923147.41045
2020-04-09,1586304000000,164.56,174.59,163.55,173.19,1871521.554,1586390399999,317822104.24189,458894,943895.429,160396947.23593
2020-04-10,1586390400000,173.18,173.44,164.89,169.46,1307817.881,1586476799999,222508469.51894,331023,641936.449,109296225.42885
2020-04-11,1586476800000,169.48,170.1,152.0,157.69,2238955.865,1586563199999,356355836.18656,494548,1101861.291,175345964.38678
2020-04-12,1586563200000,157.69,161.25,153.78,158.19,1157138.069,1586649599999,182597930.42972,276994,599473.392,94634227.12109
2020-04-13,1586649600000,158.21,164.9,154.85,158.72,1402479.422,1586735999999,224914825.57336,277592,741177.241,118849123.73573
2020-04-14,1586736000000,158.69,159.08,149.55,156.37,1787879.914,1586822399999,275149048.62074,405320,903569.15,139139156.3119
2020-04-15,1586822400000,156.38,161.83,155.07,158.43,1342786.247,1586908799999,212907622.9064,297080,690112.758,109426592.18924
2020-04-16,1586908800000,158.42,161.32,151.9,152.64,1352926.571,1586995199999,212884736.06398,292804,688291.692,108429536.28274
2020-04-17,1586995200000,152.64,174.92,148.07,172.27,3073088.701,1587081599999,509884815.63486,630949,1667614.256,276876716.62637
2020-04-18,1587081600000,172.31,174.88,168.21,170.56,1341267.776,1587167999999,228893903.77257,308154,662022.853,113010549.14014
2020-04-19,1587168000000,170.56,189.68,170.28,187.48,2159964.294,1587254399999,389663555.13636,437965,1144658.728,206421142.12535
2020-04-20,1587254400000,187.52,188.3,176.27,179.97,2326412.534,1587340799999,423672004.55212,427548,1108607.873,201950327.52453
2020-04-21,1587340800000,179.96,186.47,166.6,170.19,3452651.911,1587427199999,611827298.66674,671337,1676777.403,297378937.0159
2020-04-22,1587427200000,170.19,174.63,167.92,170.66,2195445.346,1587513599999,375960392.8183,464362,1103539.252,189053487.58971
2020-04-23,1587513600000,170.66,183.98,169.8,182.63,2433000.659,1587599999999,432861105.37288,451332,1276651.569,227150381.75852
2020-04-24,1587600000000,182.63,194.4,178.0,185.53,3351092.377,1587686399999,621753420.53678,618026,1698737.419,315365993.72659
2020-04-25,1587686400000,185.54,189.77,184.49,187.65,1865428.754,1587772799999,349685296.23952,388552,907062.139,170090219.94434
2020-04-26,1587772800000,187.67,198.53,185.7,194.25,2370712.476,1587859199999,458631945.16971,454073,1186523.724,229588208.22464
2020-04-27,1587859200000,194.22,199.99,192.27,197.46,2056340.656,1587945599999,402336362.15937,382181,1032768.026,202142004.0759
2020-04-28,1587945600000,197.46,199.0,189.51,196.37,2321318.544,1588031999999,452448671.70133,427019,1159571.77,226133041.51048
2020-04-29,1588032000000,196.39,197.72,192.28,196.31,1903267.47,1588118399999,372049036.21292,334612,958974.317,187535228.90431
2020-04-30,1588118400000,196.34,219.5,196.31,215.5,3776173.452,1588204799999,788440824.8162,689336,1943728.88,405704452.4078
2020-05-01,1588204800000,215.5,227.5,201.9,206.22,4371759.191,1588291199999,936458258.32876,878149,2108115.169,451716089.27402
2020-05-02,1588291200000,206.21,217.49,206.12,212.22,1902796.913,1588377599999,403173248.22679,486182,959961.269,203411311.01384
2020-05-03,1588377600000,212.21,215.63,210.55,213.99,1246430.868,1588463999999,265476896.91763,376623,633092.805,134879755.82526
2020-05-04,1588464000000,213.99,219.84,205.0,209.95,1688070.223,1588550399999,359428511.96159,415590,802533.224,170972507.63971
2020-05-05,1588550400000,209.94,210.83,195.1,206.73,2313604.876,1588636799999,469274368.7238,538466,1148443.358,233015542.20557
2020-05-06,1588636800000,206.69,212.02,201.14,205.39,1814876.244,1588723199999,374058470.5859,478967,890705.326,183688548.36702
2020-05-07,1588723200000,205.36,211.13,198.04,199.06,1868966.306,1588809599999,386076250.9243,440463,908288.701,187885674.49562
2020-05-08,1588809600000,199.09,215.63,196.14,212.25,2470908.382,1588895999999,513526641.1967,593638,1254017.167,260742790.33153
2020-05-09,1588896000000,212.25,216.95,207.01,211.47,1698296.769,1588982399999,360076385.66326,440233,815387.482,172964056.38134
2020-05-10,1588982400000,211.47,214.81,208.3,210.31,1444064.449,1589068799999,306213858.72979,388625,680126.868,144273835.94637
2020-05-11,1589068800000,210.32,210.36,177.89,187.52,3056317.482,1589155199999,577999455.74581,620956,1463682.758,276223585.03148
